ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Tor_1,11/06/2018,Juntas del Toro,-29.976679,-70.094174,2097,VicuÃƒÂ±a,Turbio river,HB,,,,,3,very soft,,,,,,,,,,,,,,,,439
Gan_1,11/06/2018,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,2018-06-11T03:00,2018-06-11T07:00,2018-06-11T10:00,2018-06-11T14:00,15,very soft,polvo,,,,,,,,,,,,,10 June: wind North-South with rain. Monday: snow with strong wind gusts.,"DÃƒÂ­a 10/06, viento norte-sur con lluvia. Lunes nieve con grandes ventoleras",431
Col_1,11/06/2018,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,2018-06-11T03:00,2018-06-11T07:00,2018-06-11T11:00,2018-06-11T15:00,17.5,very soft,,,,,,,,,,,,,,,,431
Emp_1,11/06/2018,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,2018-06-11T04:00,2018-06-11T08:00,2018-06-11T14:00,2018-06-11T18:00,14.4,very soft,,,,,80,1.6,,,,,,,,It was raining at night with wind and then it started snowing at approximately 4 am.,Estuvo lloviendo en la noche con viento y luego de esto empezÃƒÂ³ a nevar mÃƒÂ¡s o menos a las 4 am.,431
Hor_1,11/06/2018,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2018-06-11T06:35,2018-06-11T10:35,2018-06-11T13:00,2018-06-11T17:00,24,very soft,,,,,,,,,,,,,,"Snow event with wind North-South. Very light snow cover, dispersing like sand when touching with feet.","Evento de nieve con vientos Norte-Sur. Capa de nieve muy liviana, que se dispersa como arena al golpearla con los pies.",431
Der_1,11/06/2018,Estero Derecho,-30.258361,-70.496337,1900,Paihuano,Claro river,JP,,,,,21.8,very soft,,,,,20,0.5,,,,,,,,"Rain, wind and high clouds with low fog.","Lluvia, viento y nubes altas con neblina baja",431
EsBr_1,11/06/2018,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,2018-06-11T05:00,2018-06-11T09:00,2018-06-11T11:00,2018-06-11T15:00,18.8,very soft,plumilla,,,,,,,,,,,,,"Sunday: intermittent rain starting at 2 pm. Snowing fine ""plumilla"" (little feathers), but intense and a lot of wind.","DÃƒÂ­a domingo, lluvia intermitente desde las 14:00. NevÃƒÂ³ plumilla muy fina pero intensa y con mucho viento.",450
Lag_1,04/07/2018,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,6,,,,,,,,,,,,,,,Light rain with light snow at the end.,Lluvia ligera acompaÃƒÂ±ada en su etapa final de una ligera caida de nieve,439
Lag_2,10/10/2018,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,10.6,medium,estrellada,,,,20,0.3,,,,,,,,"Soft, without wind. It went up to the lake and the gauge.","Suave, sin viento. SubiÃƒÂ³ el lago y el aforador",439
Tor_2,30/05/2019,Juntas del Toro,-29.976679,-70.094174,2097,VicuÃƒÂ±a,Turbio river,HB,,,,,2,,,,,,,,,,,,,,,,,439
